Date,respiratory_unscaled,respiratory_monthly,isPartial,scale,respiratory
2019-02-08,0,12.0,,0.12,0.0
2019-02-09,0,12.0,,0.12,0.0
2019-02-10,0,35.0,False,0.35,0.0
2019-02-11,0,35.0,,0.35,0.0
2019-02-12,0,35.0,,0.35,0.0
2019-02-13,0,35.0,,0.35,0.0
2019-02-14,0,35.0,,0.35,0.0
2019-02-15,0,35.0,,0.35,0.0
2019-02-16,62,35.0,,0.35,21.7
2019-02-17,51,35.0,False,0.35,17.849999999999998
2019-02-18,0,35.0,,0.35,0.0
2019-02-19,0,35.0,,0.35,0.0
2019-02-20,0,35.0,,0.35,0.0
2019-02-21,0,35.0,,0.35,0.0
2019-02-22,0,35.0,,0.35,0.0
2019-02-23,0,35.0,,0.35,0.0
2019-02-24,0,24.0,False,0.24,0.0
2019-02-25,49,24.0,,0.24,11.76
2019-02-26,48,24.0,,0.24,11.52
2019-02-27,0,24.0,,0.24,0.0
2019-02-28,100,24.0,,0.24,24.0
2019-03-01,0,24.0,,0.24,0.0
2019-03-02,0,24.0,,0.24,0.0
2019-03-03,57,12.0,False,0.12,6.84
2019-03-04,100,12.0,,0.12,12.0
2019-03-05,0,12.0,,0.12,0.0
2019-03-06,50,12.0,,0.12,6.0
2019-03-07,0,12.0,,0.12,0.0
2019-03-08,0,12.0,,0.12,0.0
2019-03-09,0,12.0,,0.12,0.0
2019-03-10,56,24.0,False,0.24,13.44
2019-03-11,0,24.0,,0.24,0.0
2019-03-12,0,24.0,,0.24,0.0
2019-03-13,0,24.0,,0.24,0.0
2019-03-14,0,24.0,,0.24,0.0
2019-03-15,53,24.0,,0.24,12.719999999999999
2019-03-16,0,24.0,,0.24,0.0
2019-03-17,0,24.0,False,0.24,0.0
2019-03-18,0,24.0,,0.24,0.0
2019-03-19,0,24.0,,0.24,0.0
2019-03-20,0,24.0,,0.24,0.0
2019-03-21,0,24.0,,0.24,0.0
2019-03-22,0,24.0,,0.24,0.0
2019-03-23,0,24.0,,0.24,0.0
2019-03-24,0,36.0,False,0.36,0.0
2019-03-25,0,36.0,,0.36,0.0
2019-03-26,0,36.0,,0.36,0.0
2019-03-27,0,36.0,,0.36,0.0
2019-03-28,0,36.0,,0.36,0.0
2019-03-29,0,36.0,,0.36,0.0
2019-03-30,0,36.0,,0.36,0.0
2019-03-31,53,48.0,False,0.48,25.439999999999998
2019-04-01,0,48.0,,0.48,0.0
2019-04-02,0,48.0,,0.48,0.0
2019-04-03,0,48.0,,0.48,0.0
2019-04-04,99,48.0,,0.48,47.519999999999996
2019-04-05,0,48.0,,0.48,0.0
2019-04-06,0,48.0,,0.48,0.0
2019-04-07,0,85.0,False,0.85,0.0
2019-04-08,0,85.0,,0.85,0.0
2019-04-09,50,85.0,,0.85,42.5
2019-04-10,97,85.0,,0.85,82.45
2019-04-11,0,85.0,,0.85,0.0
2019-04-12,0,85.0,,0.85,0.0
2019-04-13,0,85.0,,0.85,0.0
2019-04-14,0,14.0,False,0.14,0.0
2019-04-15,0,14.0,,0.14,0.0
2019-04-16,0,14.0,,0.14,0.0
2019-04-17,0,14.0,,0.14,0.0
2019-04-18,0,14.0,,0.14,0.0
2019-04-19,72,14.0,,0.14,10.080000000000002
2019-04-20,0,14.0,,0.14,0.0
2019-04-21,0,13.0,False,0.13,0.0
2019-04-22,0,13.0,,0.13,0.0
2019-04-23,55,13.0,,0.13,7.15
2019-04-24,0,13.0,,0.13,0.0
2019-04-25,0,13.0,,0.13,0.0
2019-04-26,0,13.0,,0.13,0.0
2019-04-27,0,13.0,,0.13,0.0
2019-04-28,100,35.0,False,0.35,35.0
2019-04-29,45,35.0,,0.35,15.749999999999998
2019-04-30,0,35.0,,0.35,0.0
2019-05-01,0,35.0,,0.35,0.0
2019-05-02,0,35.0,,0.35,0.0
2019-05-03,0,35.0,,0.35,0.0
2019-05-04,0,35.0,,0.35,0.0
2019-05-05,0,35.0,False,0.35,0.0
2019-05-06,0,35.0,,0.35,0.0
2019-05-07,0,35.0,,0.35,0.0
2019-05-08,79,35.0,,0.35,27.65
2019-05-09,0,35.0,,0.35,0.0
2019-05-10,0,35.0,,0.35,0.0
2019-05-11,100,35.0,,0.35,35.0
2019-05-12,0,47.0,False,0.47,0.0
2019-05-13,0,47.0,,0.47,0.0
2019-05-14,0,47.0,,0.47,0.0
2019-05-15,78,47.0,,0.47,36.66
2019-05-16,0,47.0,,0.47,0.0
2019-05-17,0,47.0,,0.47,0.0
2019-05-18,0,47.0,,0.47,0.0
2019-05-19,0,35.0,False,0.35,0.0
2019-05-20,0,35.0,,0.35,0.0
2019-05-21,0,35.0,,0.35,0.0
2019-05-22,75,35.0,,0.35,26.25
2019-05-23,78,35.0,,0.35,27.299999999999997
2019-05-24,0,35.0,,0.35,0.0
2019-05-25,0,35.0,,0.35,0.0
2019-05-26,89,44.0,False,0.44,39.160000000000004
2019-05-27,0,44.0,,0.44,0.0
2019-05-28,0,44.0,,0.44,0.0
2019-05-29,0,44.0,,0.44,0.0
2019-05-30,72,44.0,,0.44,31.68
2019-05-31,0,44.0,,0.44,0.0
2019-06-01,0,44.0,,0.44,0.0
2019-06-02,0,67.0,False,0.67,0.0
2019-06-03,0,67.0,,0.67,0.0
2019-06-04,100,67.0,,0.67,67.0
2019-06-05,33,67.0,,0.67,22.110000000000003
2019-06-06,34,67.0,,0.67,22.78
2019-06-07,79,67.0,,0.67,52.93
2019-06-08,0,67.0,,0.67,0.0
2019-06-09,0,22.0,False,0.22,0.0
2019-06-10,34,22.0,,0.22,7.48
2019-06-11,0,22.0,,0.22,0.0
2019-06-12,0,22.0,,0.22,0.0
2019-06-13,0,22.0,,0.22,0.0
2019-06-14,0,22.0,,0.22,0.0
2019-06-15,0,22.0,,0.22,0.0
2019-06-16,0,11.0,False,0.11,0.0
2019-06-17,0,11.0,,0.11,0.0
2019-06-18,35,11.0,,0.11,3.85
2019-06-19,36,11.0,,0.11,3.96
2019-06-20,0,11.0,,0.11,0.0
2019-06-21,0,11.0,,0.11,0.0
2019-06-22,0,11.0,,0.11,0.0
2019-06-23,0,11.0,False,0.11,0.0
2019-06-24,0,11.0,,0.11,0.0
2019-06-25,0,11.0,,0.11,0.0
2019-06-26,0,11.0,,0.11,0.0
2019-06-27,71,11.0,,0.11,7.81
2019-06-28,0,11.0,,0.11,0.0
2019-06-29,48,11.0,,0.11,5.28
2019-06-30,0,34.0,False,0.34,0.0
2019-07-01,0,34.0,,0.34,0.0
2019-07-02,0,34.0,,0.34,0.0
2019-07-03,64,34.0,,0.34,21.76
2019-07-04,100,34.0,,0.34,34.0
2019-07-05,40,34.0,,0.34,13.600000000000001
2019-07-06,46,34.0,,0.34,15.64
2019-07-07,0,24.0,False,0.24,0.0
2019-07-08,0,24.0,,0.24,0.0
2019-07-09,0,24.0,,0.24,0.0
2019-07-10,35,24.0,,0.24,8.4
2019-07-11,36,24.0,,0.24,8.64
2019-07-12,0,24.0,,0.24,0.0
2019-07-13,0,24.0,,0.24,0.0
2019-07-14,0,0.0,False,0.0,0.0
2019-07-15,0,0.0,,0.0,0.0
2019-07-16,0,0.0,,0.0,0.0
2019-07-17,36,0.0,,0.0,0.0
2019-07-18,0,0.0,,0.0,0.0
2019-07-19,0,0.0,,0.0,0.0
2019-07-20,0,0.0,,0.0,0.0
2019-07-21,0,24.0,False,0.24,0.0
2019-07-22,0,24.0,,0.24,0.0
2019-07-23,0,24.0,,0.24,0.0
2019-07-24,0,24.0,,0.24,0.0
2019-07-25,0,24.0,,0.24,0.0
2019-07-26,41,24.0,,0.24,9.84
2019-07-27,47,24.0,,0.24,11.28
2019-07-28,38,12.0,False,0.12,4.56
2019-07-29,0,12.0,,0.12,0.0
2019-07-30,35,12.0,,0.12,4.2
2019-07-31,0,12.0,,0.12,0.0
2019-08-01,57,12.0,,0.12,6.84
2019-08-02,0,12.0,,0.12,0.0
2019-08-03,0,12.0,,0.12,0.0
2019-08-04,0,34.0,False,0.34,0.0
2019-08-05,0,34.0,,0.34,0.0
2019-08-06,0,34.0,,0.34,0.0
2019-08-07,55,34.0,,0.34,18.700000000000003
2019-08-08,54,34.0,,0.34,18.360000000000003
2019-08-09,0,34.0,,0.34,0.0
2019-08-10,0,34.0,,0.34,0.0
2019-08-11,0,32.0,False,0.32,0.0
2019-08-12,52,32.0,,0.32,16.64
2019-08-13,0,32.0,,0.32,0.0
2019-08-14,51,32.0,,0.32,16.32
2019-08-15,0,32.0,,0.32,0.0
2019-08-16,0,32.0,,0.32,0.0
2019-08-17,0,32.0,,0.32,0.0
2019-08-18,55,10.0,False,0.1,5.5
2019-08-19,50,10.0,,0.1,5.0
2019-08-20,0,10.0,,0.1,0.0
2019-08-21,100,10.0,,0.1,10.0
2019-08-22,50,10.0,,0.1,5.0
2019-08-23,0,10.0,,0.1,0.0
2019-08-24,0,10.0,,0.1,0.0
2019-08-25,0,0.0,False,0.0,0.0
2019-08-26,0,0.0,,0.0,0.0
2019-08-27,0,0.0,,0.0,0.0
2019-08-28,0,0.0,,0.0,0.0
2019-08-29,0,0.0,,0.0,0.0
2019-08-30,0,0.0,,0.0,0.0
2019-08-31,0,0.0,,0.0,0.0
2019-09-01,54,52.0,False,0.52,28.080000000000002
2019-09-02,0,52.0,,0.52,0.0
2019-09-03,0,52.0,,0.52,0.0
2019-09-04,42,52.0,,0.52,21.84
2019-09-05,43,52.0,,0.52,22.36
2019-09-06,0,52.0,,0.52,0.0
2019-09-07,0,52.0,,0.52,0.0
2019-09-08,0,71.0,False,0.71,0.0
2019-09-09,42,71.0,,0.71,29.82
2019-09-10,43,71.0,,0.71,30.529999999999998
2019-09-11,43,71.0,,0.71,30.529999999999998
2019-09-12,45,71.0,,0.71,31.95
2019-09-13,0,71.0,,0.71,0.0
2019-09-14,0,71.0,,0.71,0.0
2019-09-15,0,50.0,False,0.5,0.0
2019-09-16,42,50.0,,0.5,21.0
