Date,puffer_unscaled,puffer_monthly,isPartial,scale,puffer
2018-02-26,0,35.0,,0.35,0.0
2018-02-27,0,35.0,,0.35,0.0
2018-02-28,0,35.0,,0.35,0.0
2018-03-01,50,35.0,,0.35,17.5
2018-03-02,0,35.0,,0.35,0.0
2018-03-03,0,35.0,,0.35,0.0
2018-03-04,0,12.0,False,0.12,0.0
2018-03-05,50,12.0,,0.12,6.0
2018-03-06,50,12.0,,0.12,6.0
2018-03-07,0,12.0,,0.12,0.0
2018-03-08,0,12.0,,0.12,0.0
2018-03-09,0,12.0,,0.12,0.0
2018-03-10,0,12.0,,0.12,0.0
2018-03-11,55,0.0,False,0.0,0.0
2018-03-12,0,0.0,,0.0,0.0
2018-03-13,0,0.0,,0.0,0.0
2018-03-14,0,0.0,,0.0,0.0
2018-03-15,0,0.0,,0.0,0.0
2018-03-16,0,0.0,,0.0,0.0
2018-03-17,0,0.0,,0.0,0.0
2018-03-18,0,12.0,False,0.12,0.0
2018-03-19,0,12.0,,0.12,0.0
2018-03-20,0,12.0,,0.12,0.0
2018-03-21,0,12.0,,0.12,0.0
2018-03-22,0,12.0,,0.12,0.0
2018-03-23,58,12.0,,0.12,6.96
2018-03-24,0,12.0,,0.12,0.0
2018-03-25,0,25.0,False,0.25,0.0
2018-03-26,100,25.0,,0.25,25.0
2018-03-27,0,25.0,,0.25,0.0
2018-03-28,0,25.0,,0.25,0.0
2018-03-29,0,25.0,,0.25,0.0
2018-03-30,0,25.0,,0.25,0.0
2018-03-31,0,25.0,,0.25,0.0
2018-04-01,0,12.0,False,0.12,0.0
2018-04-02,0,12.0,,0.12,0.0
2018-04-03,0,12.0,,0.12,0.0
2018-04-04,0,12.0,,0.12,0.0
2018-04-05,94,12.0,,0.12,11.28
2018-04-06,0,12.0,,0.12,0.0
2018-04-07,0,12.0,,0.12,0.0
2018-04-08,0,0.0,False,0.0,0.0
2018-04-09,0,0.0,,0.0,0.0
2018-04-10,0,0.0,,0.0,0.0
2018-04-11,0,0.0,,0.0,0.0
2018-04-12,97,0.0,,0.0,0.0
2018-04-13,0,0.0,,0.0,0.0
2018-04-14,0,0.0,,0.0,0.0
2018-04-15,0,12.0,False,0.12,0.0
2018-04-16,96,12.0,,0.12,11.52
2018-04-17,100,12.0,,0.12,12.0
2018-04-18,0,12.0,,0.12,0.0
2018-04-19,0,12.0,,0.12,0.0
2018-04-20,0,12.0,,0.12,0.0
2018-04-21,0,12.0,,0.12,0.0
2018-04-22,0,37.0,False,0.37,0.0
2018-04-23,0,37.0,,0.37,0.0
2018-04-24,0,37.0,,0.37,0.0
2018-04-25,0,37.0,,0.37,0.0
2018-04-26,0,37.0,,0.37,0.0
2018-04-27,0,37.0,,0.37,0.0
2018-04-28,0,37.0,,0.37,0.0
2018-04-29,0,0.0,False,0.0,0.0
2018-04-30,0,0.0,,0.0,0.0
2018-05-01,0,0.0,,0.0,0.0
2018-05-02,0,0.0,,0.0,0.0
2018-05-03,0,0.0,,0.0,0.0
2018-05-04,0,0.0,,0.0,0.0
2018-05-05,0,0.0,,0.0,0.0
2018-05-06,0,12.0,False,0.12,0.0
2018-05-07,0,12.0,,0.12,0.0
2018-05-08,0,12.0,,0.12,0.0
2018-05-09,88,12.0,,0.12,10.559999999999999
2018-05-10,0,12.0,,0.12,0.0
2018-05-11,0,12.0,,0.12,0.0
2018-05-12,0,12.0,,0.12,0.0
2018-05-13,0,12.0,False,0.12,0.0
2018-05-14,0,12.0,,0.12,0.0
2018-05-15,0,12.0,,0.12,0.0
2018-05-16,0,12.0,,0.12,0.0
2018-05-17,0,12.0,,0.12,0.0
2018-05-18,0,12.0,,0.12,0.0
2018-05-19,0,12.0,,0.12,0.0
2018-05-20,51,12.0,False,0.12,6.12
2018-05-21,0,12.0,,0.12,0.0
2018-05-22,89,12.0,,0.12,10.68
2018-05-23,45,12.0,,0.12,5.3999999999999995
2018-05-24,0,12.0,,0.12,0.0
2018-05-25,0,12.0,,0.12,0.0
2018-05-26,0,12.0,,0.12,0.0
2018-05-27,100,72.0,False,0.72,72.0
2018-05-28,44,72.0,,0.72,31.68
2018-05-29,92,72.0,,0.72,66.24
2018-05-30,0,72.0,,0.72,0.0
2018-05-31,0,72.0,,0.72,0.0
2018-06-01,0,72.0,,0.72,0.0
2018-06-02,0,72.0,,0.72,0.0
2018-06-03,0,24.0,False,0.24,0.0
2018-06-04,53,24.0,,0.24,12.719999999999999
2018-06-05,0,24.0,,0.24,0.0
2018-06-06,0,24.0,,0.24,0.0
2018-06-07,0,24.0,,0.24,0.0
2018-06-08,61,24.0,,0.24,14.639999999999999
2018-06-09,0,24.0,,0.24,0.0
2018-06-10,0,34.0,False,0.34,0.0
2018-06-11,48,34.0,,0.34,16.32
2018-06-12,0,34.0,,0.34,0.0
2018-06-13,0,34.0,,0.34,0.0
2018-06-14,0,34.0,,0.34,0.0
2018-06-15,0,34.0,,0.34,0.0
2018-06-16,0,34.0,,0.34,0.0
2018-06-17,0,12.0,False,0.12,0.0
2018-06-18,49,12.0,,0.12,5.88
2018-06-19,0,12.0,,0.12,0.0
2018-06-20,0,12.0,,0.12,0.0
2018-06-21,0,12.0,,0.12,0.0
2018-06-22,0,12.0,,0.12,0.0
2018-06-23,0,12.0,,0.12,0.0
2018-06-24,0,48.0,False,0.48,0.0
2018-06-25,98,48.0,,0.48,47.04
2018-06-26,100,48.0,,0.48,48.0
2018-06-27,0,48.0,,0.48,0.0
2018-06-28,0,48.0,,0.48,0.0
2018-06-29,0,48.0,,0.48,0.0
2018-06-30,69,48.0,,0.48,33.12
2018-07-01,0,48.0,False,0.48,0.0
2018-07-02,38,48.0,,0.48,18.24
2018-07-03,0,48.0,,0.48,0.0
2018-07-04,40,48.0,,0.48,19.2
2018-07-05,0,48.0,,0.48,0.0
2018-07-06,0,48.0,,0.48,0.0
2018-07-07,100,48.0,,0.48,48.0
2018-07-08,0,25.0,False,0.25,0.0
2018-07-09,0,25.0,,0.25,0.0
2018-07-10,0,25.0,,0.25,0.0
2018-07-11,0,25.0,,0.25,0.0
2018-07-12,0,25.0,,0.25,0.0
2018-07-13,48,25.0,,0.25,12.0
2018-07-14,51,25.0,,0.25,12.75
2018-07-15,0,13.0,False,0.13,0.0
2018-07-16,0,13.0,,0.13,0.0
2018-07-17,0,13.0,,0.13,0.0
2018-07-18,0,13.0,,0.13,0.0
2018-07-19,0,13.0,,0.13,0.0
2018-07-20,0,13.0,,0.13,0.0
2018-07-21,0,13.0,,0.13,0.0
2018-07-22,0,24.0,False,0.24,0.0
2018-07-23,0,24.0,,0.24,0.0
2018-07-24,0,24.0,,0.24,0.0
2018-07-25,0,24.0,,0.24,0.0
2018-07-26,0,24.0,,0.24,0.0
2018-07-27,0,24.0,,0.24,0.0
2018-07-28,50,24.0,,0.24,12.0
2018-07-29,0,36.0,False,0.36,0.0
2018-07-30,0,36.0,,0.36,0.0
2018-07-31,0,36.0,,0.36,0.0
2018-08-01,0,36.0,,0.36,0.0
2018-08-02,0,36.0,,0.36,0.0
2018-08-03,0,36.0,,0.36,0.0
2018-08-04,0,36.0,,0.36,0.0
2018-08-05,100,12.0,False,0.12,12.0
2018-08-06,0,12.0,,0.12,0.0
2018-08-07,88,12.0,,0.12,10.559999999999999
2018-08-08,0,12.0,,0.12,0.0
2018-08-09,0,12.0,,0.12,0.0
2018-08-10,0,12.0,,0.12,0.0
2018-08-11,0,12.0,,0.12,0.0
2018-08-12,0,0.0,False,0.0,0.0
2018-08-13,0,0.0,,0.0,0.0
2018-08-14,0,0.0,,0.0,0.0
2018-08-15,91,0.0,,0.0,0.0
2018-08-16,0,0.0,,0.0,0.0
2018-08-17,0,0.0,,0.0,0.0
2018-08-18,0,0.0,,0.0,0.0
2018-08-19,0,24.0,False,0.24,0.0
2018-08-20,0,24.0,,0.24,0.0
2018-08-21,0,24.0,,0.24,0.0
2018-08-22,0,24.0,,0.24,0.0
2018-08-23,0,24.0,,0.24,0.0
2018-08-24,0,24.0,,0.24,0.0
2018-08-25,0,24.0,,0.24,0.0
2018-08-26,0,12.0,False,0.12,0.0
2018-08-27,0,12.0,,0.12,0.0
2018-08-28,92,12.0,,0.12,11.04
2018-08-29,0,12.0,,0.12,0.0
2018-08-30,0,12.0,,0.12,0.0
2018-08-31,0,12.0,,0.12,0.0
2018-09-01,0,12.0,,0.12,0.0
2018-09-02,0,12.0,False,0.12,0.0
2018-09-03,74,12.0,,0.12,8.879999999999999
2018-09-04,0,12.0,,0.12,0.0
2018-09-05,0,12.0,,0.12,0.0
2018-09-06,0,12.0,,0.12,0.0
2018-09-07,0,12.0,,0.12,0.0
2018-09-08,0,12.0,,0.12,0.0
2018-09-09,0,12.0,False,0.12,0.0
2018-09-10,0,12.0,,0.12,0.0
2018-09-11,74,12.0,,0.12,8.879999999999999
2018-09-12,0,12.0,,0.12,0.0
2018-09-13,0,12.0,,0.12,0.0
2018-09-14,0,12.0,,0.12,0.0
2018-09-15,0,12.0,,0.12,0.0
2018-09-16,0,37.0,False,0.37,0.0
2018-09-17,0,37.0,,0.37,0.0
2018-09-18,0,37.0,,0.37,0.0
2018-09-19,0,37.0,,0.37,0.0
2018-09-20,0,37.0,,0.37,0.0
2018-09-21,0,37.0,,0.37,0.0
2018-09-22,0,37.0,,0.37,0.0
2018-09-23,0,0.0,False,0.0,0.0
2018-09-24,0,0.0,,0.0,0.0
2018-09-25,0,0.0,,0.0,0.0
2018-09-26,0,0.0,,0.0,0.0
2018-09-27,0,0.0,,0.0,0.0
2018-09-28,0,0.0,,0.0,0.0
2018-09-29,100,0.0,,0.0,0.0
2018-09-30,0,0.0,False,0.0,0.0
2018-10-01,0,0.0,,0.0,0.0
2018-10-02,0,0.0,,0.0,0.0
2018-10-03,77,0.0,,0.0,0.0
2018-10-04,0,0.0,,0.0,0.0
2018-10-05,0,0.0,,0.0,0.0
2018-10-06,0,0.0,,0.0,0.0
2018-10-07,84,27.0,False,0.27,22.68
2018-10-08,0,27.0,,0.27,0.0
2018-10-09,0,27.0,,0.27,0.0
2018-10-10,0,27.0,,0.27,0.0
2018-10-11,0,27.0,,0.27,0.0
2018-10-12,0,27.0,,0.27,0.0
2018-10-13,0,27.0,,0.27,0.0
2018-10-14,0,0.0,False,0.0,0.0
2018-10-15,0,0.0,,0.0,0.0
2018-10-16,71,0.0,,0.0,0.0
2018-10-17,0,0.0,,0.0,0.0
2018-10-18,0,0.0,,0.0,0.0
2018-10-19,0,0.0,,0.0,0.0
2018-10-20,0,0.0,,0.0,0.0
2018-10-21,100,13.0,False,0.13,13.0
2018-10-22,0,13.0,,0.13,0.0
2018-10-23,69,13.0,,0.13,8.97
2018-10-24,70,13.0,,0.13,9.1
2018-10-25,0,13.0,,0.13,0.0
2018-10-26,0,13.0,,0.13,0.0
2018-10-27,0,13.0,,0.13,0.0
2018-10-28,0,12.0,False,0.12,0.0
2018-10-29,0,12.0,,0.12,0.0
2018-10-30,0,12.0,,0.12,0.0
2018-10-31,0,12.0,,0.12,0.0
2018-11-01,33,12.0,,0.12,3.96
2018-11-02,77,12.0,,0.12,9.24
2018-11-03,0,12.0,,0.12,0.0
2018-11-04,0,48.0,False,0.48,0.0
2018-11-05,0,48.0,,0.48,0.0
2018-11-06,0,48.0,,0.48,0.0
2018-11-07,0,48.0,,0.48,0.0
2018-11-08,0,48.0,,0.48,0.0
2018-11-09,0,48.0,,0.48,0.0
2018-11-10,0,48.0,,0.48,0.0
2018-11-11,0,13.0,False,0.13,0.0
2018-11-12,0,13.0,,0.13,0.0
2018-11-13,0,13.0,,0.13,0.0
2018-11-14,0,13.0,,0.13,0.0
2018-11-15,34,13.0,,0.13,4.42
2018-11-16,40,13.0,,0.13,5.2
2018-11-17,0,13.0,,0.13,0.0
2018-11-18,0,12.0,False,0.12,0.0
2018-11-19,31,12.0,,0.12,3.7199999999999998
2018-11-20,0,12.0,,0.12,0.0
2018-11-21,0,12.0,,0.12,0.0
2018-11-22,0,12.0,,0.12,0.0
2018-11-23,0,12.0,,0.12,0.0
2018-11-24,0,12.0,,0.12,0.0
2018-11-25,100,25.0,False,0.25,25.0
2018-11-26,0,25.0,,0.25,0.0
2018-11-27,32,25.0,,0.25,8.0
2018-11-28,0,25.0,,0.25,0.0
2018-11-29,0,25.0,,0.25,0.0
2018-11-30,0,25.0,,0.25,0.0
2018-12-01,0,25.0,,0.25,0.0
2018-12-02,0,13.0,False,0.13,0.0
2018-12-03,0,13.0,,0.13,0.0
2018-12-04,92,13.0,,0.13,11.96
2018-12-05,100,13.0,,0.13,13.0
2018-12-06,0,13.0,,0.13,0.0
2018-12-07,0,13.0,,0.13,0.0
2018-12-08,0,13.0,,0.13,0.0
2018-12-09,0,0.0,False,0.0,0.0
2018-12-10,0,0.0,,0.0,0.0
2018-12-11,0,0.0,,0.0,0.0
2018-12-12,0,0.0,,0.0,0.0
2018-12-13,0,0.0,,0.0,0.0
2018-12-14,0,0.0,,0.0,0.0
2018-12-15,0,0.0,,0.0,0.0
2018-12-16,0,0.0,False,0.0,0.0
2018-12-17,0,0.0,,0.0,0.0
2018-12-18,0,0.0,,0.0,0.0
2018-12-19,0,0.0,,0.0,0.0
2018-12-20,0,0.0,,0.0,0.0
2018-12-21,0,0.0,,0.0,0.0
2018-12-22,0,0.0,,0.0,0.0
2018-12-23,0,0.0,False,0.0,0.0
2018-12-24,0,0.0,,0.0,0.0
2018-12-25,0,0.0,,0.0,0.0
2018-12-26,0,0.0,,0.0,0.0
2018-12-27,0,0.0,,0.0,0.0
2018-12-28,0,0.0,,0.0,0.0
2018-12-29,0,0.0,,0.0,0.0
2018-12-30,0,0.0,False,0.0,0.0
2018-12-31,0,0.0,,0.0,0.0
2019-01-01,0,0.0,,0.0,0.0
2019-01-02,0,0.0,,0.0,0.0
2019-01-03,0,0.0,,0.0,0.0
2019-01-04,0,0.0,,0.0,0.0
2019-01-05,0,0.0,,0.0,0.0
2019-01-06,0,14.0,False,0.14,0.0
2019-01-07,0,14.0,,0.14,0.0
2019-01-08,0,14.0,,0.14,0.0
2019-01-09,0,14.0,,0.14,0.0
2019-01-10,0,14.0,,0.14,0.0
2019-01-11,0,14.0,,0.14,0.0
2019-01-12,100,14.0,,0.14,14.000000000000002
2019-01-13,0,26.0,False,0.26,0.0
2019-01-14,0,26.0,,0.26,0.0
2019-01-15,79,26.0,,0.26,20.54
2019-01-16,80,26.0,,0.26,20.8
2019-01-17,79,26.0,,0.26,20.54
2019-01-18,0,26.0,,0.26,0.0
2019-01-19,98,26.0,,0.26,25.48
2019-01-20,0,13.0,False,0.13,0.0
2019-01-21,0,13.0,,0.13,0.0
2019-01-22,0,13.0,,0.13,0.0
2019-01-23,0,13.0,,0.13,0.0
2019-01-24,0,13.0,,0.13,0.0
2019-01-25,0,13.0,,0.13,0.0
2019-01-26,0,13.0,,0.13,0.0
2019-01-27,92,39.0,False,0.39,35.88
2019-01-28,0,39.0,,0.39,0.0
2019-01-29,0,39.0,,0.39,0.0
2019-01-30,0,39.0,,0.39,0.0
2019-01-31,0,39.0,,0.39,0.0
2019-02-01,100,39.0,,0.39,39.0
2019-02-02,0,39.0,,0.39,0.0
2019-02-03,0,26.0,False,0.26,0.0
2019-02-04,0,26.0,,0.26,0.0
2019-02-05,0,26.0,,0.26,0.0
2019-02-06,0,26.0,,0.26,0.0
2019-02-07,0,26.0,,0.26,0.0
2019-02-08,0,26.0,,0.26,0.0
2019-02-09,0,26.0,,0.26,0.0
2019-02-10,93,0.0,False,0.0,0.0
2019-02-11,0,0.0,,0.0,0.0
2019-02-12,0,0.0,,0.0,0.0
2019-02-13,0,0.0,,0.0,0.0
2019-02-14,0,0.0,,0.0,0.0
2019-02-15,0,0.0,,0.0,0.0
2019-02-16,0,0.0,,0.0,0.0
2019-02-17,0,0.0,False,0.0,0.0
2019-02-18,0,0.0,,0.0,0.0
2019-02-19,0,0.0,,0.0,0.0
2019-02-20,0,0.0,,0.0,0.0
2019-02-21,0,0.0,,0.0,0.0
2019-02-22,0,0.0,,0.0,0.0
2019-02-23,0,0.0,,0.0,0.0
2019-02-24,0,13.0,False,0.13,0.0
2019-02-25,0,13.0,,0.13,0.0
2019-02-26,0,13.0,,0.13,0.0
2019-02-27,0,13.0,,0.13,0.0
2019-02-28,0,13.0,,0.13,0.0
2019-03-01,100,13.0,,0.13,13.0
2019-03-02,0,13.0,,0.13,0.0
2019-03-03,0,13.0,False,0.13,0.0
2019-03-04,0,13.0,,0.13,0.0
2019-03-05,0,13.0,,0.13,0.0
2019-03-06,0,13.0,,0.13,0.0
2019-03-07,0,13.0,,0.13,0.0
2019-03-08,0,13.0,,0.13,0.0
2019-03-09,0,13.0,,0.13,0.0
2019-03-10,0,0.0,False,0.0,0.0
2019-03-11,0,0.0,,0.0,0.0
2019-03-12,0,0.0,,0.0,0.0
2019-03-13,0,0.0,,0.0,0.0
2019-03-14,83,0.0,,0.0,0.0
2019-03-15,0,0.0,,0.0,0.0
2019-03-16,0,0.0,,0.0,0.0
2019-03-17,0,13.0,False,0.13,0.0
2019-03-18,0,13.0,,0.13,0.0
2019-03-19,0,13.0,,0.13,0.0
2019-03-20,0,13.0,,0.13,0.0
2019-03-21,0,13.0,,0.13,0.0
2019-03-22,0,13.0,,0.13,0.0
2019-03-23,0,13.0,,0.13,0.0
2019-03-24,0,38.0,False,0.38,0.0
2019-03-25,0,38.0,,0.38,0.0
2019-03-26,0,38.0,,0.38,0.0
2019-03-27,0,38.0,,0.38,0.0
2019-03-28,0,38.0,,0.38,0.0
2019-03-29,0,38.0,,0.38,0.0
2019-03-30,0,38.0,,0.38,0.0
2019-03-31,0,63.0,False,0.63,0.0
2019-04-01,74,63.0,,0.63,46.62
2019-04-02,0,63.0,,0.63,0.0
2019-04-03,0,63.0,,0.63,0.0
2019-04-04,0,63.0,,0.63,0.0
2019-04-05,0,63.0,,0.63,0.0
2019-04-06,100,63.0,,0.63,63.0
2019-04-07,88,26.0,False,0.26,22.880000000000003
2019-04-08,0,26.0,,0.26,0.0
2019-04-09,0,26.0,,0.26,0.0
2019-04-10,0,26.0,,0.26,0.0
2019-04-11,0,26.0,,0.26,0.0
2019-04-12,0,26.0,,0.26,0.0
2019-04-13,0,26.0,,0.26,0.0
2019-04-14,92,15.0,False,0.15,13.799999999999999
2019-04-15,0,15.0,,0.15,0.0
2019-04-16,0,15.0,,0.15,0.0
2019-04-17,0,15.0,,0.15,0.0
2019-04-18,96,15.0,,0.15,14.399999999999999
2019-04-19,0,15.0,,0.15,0.0
2019-04-20,0,15.0,,0.15,0.0
2019-04-21,0,0.0,False,0.0,0.0
2019-04-22,91,0.0,,0.0,0.0
2019-04-23,0,0.0,,0.0,0.0
2019-04-24,0,0.0,,0.0,0.0
2019-04-25,0,0.0,,0.0,0.0
2019-04-26,85,0.0,,0.0,0.0
2019-04-27,0,0.0,,0.0,0.0
2019-04-28,0,25.0,False,0.25,0.0
2019-04-29,0,25.0,,0.25,0.0
2019-04-30,0,25.0,,0.25,0.0
2019-05-01,0,25.0,,0.25,0.0
2019-05-02,0,25.0,,0.25,0.0
2019-05-03,0,25.0,,0.25,0.0
2019-05-04,0,25.0,,0.25,0.0
2019-05-05,0,25.0,False,0.25,0.0
2019-05-06,46,25.0,,0.25,11.5
2019-05-07,0,25.0,,0.25,0.0
2019-05-08,0,25.0,,0.25,0.0
2019-05-09,46,25.0,,0.25,11.5
2019-05-10,0,25.0,,0.25,0.0
2019-05-11,0,25.0,,0.25,0.0
2019-05-12,0,63.0,False,0.63,0.0
2019-05-13,92,63.0,,0.63,57.96
2019-05-14,47,63.0,,0.63,29.61
2019-05-15,0,63.0,,0.63,0.0
2019-05-16,95,63.0,,0.63,59.85
2019-05-17,0,63.0,,0.63,0.0
2019-05-18,64,63.0,,0.63,40.32
2019-05-19,0,50.0,False,0.5,0.0
2019-05-20,0,50.0,,0.5,0.0
2019-05-21,0,50.0,,0.5,0.0
2019-05-22,0,50.0,,0.5,0.0
2019-05-23,0,50.0,,0.5,0.0
2019-05-24,0,50.0,,0.5,0.0
2019-05-25,0,50.0,,0.5,0.0
2019-05-26,0,48.0,False,0.48,0.0
2019-05-27,43,48.0,,0.48,20.64
2019-05-28,0,48.0,,0.48,0.0
2019-05-29,44,48.0,,0.48,21.119999999999997
2019-05-30,0,48.0,,0.48,0.0
2019-05-31,100,48.0,,0.48,48.0
2019-06-01,41,48.0,,0.48,19.68
2019-06-02,0,59.0,False,0.59,0.0
2019-06-03,36,59.0,,0.59,21.24
2019-06-04,31,59.0,,0.59,18.29
2019-06-05,31,59.0,,0.59,18.29
2019-06-06,63,59.0,,0.59,37.169999999999995
2019-06-07,37,59.0,,0.59,21.83
2019-06-08,0,59.0,,0.59,0.0
2019-06-09,36,47.0,False,0.47,16.919999999999998
2019-06-10,0,47.0,,0.47,0.0
2019-06-11,32,47.0,,0.47,15.04
2019-06-12,32,47.0,,0.47,15.04
2019-06-13,0,47.0,,0.47,0.0
2019-06-14,0,47.0,,0.47,0.0
2019-06-15,42,47.0,,0.47,19.74
2019-06-16,0,35.0,False,0.35,0.0
2019-06-17,32,35.0,,0.35,11.2
2019-06-18,32,35.0,,0.35,11.2
2019-06-19,100,35.0,,0.35,35.0
2019-06-20,0,35.0,,0.35,0.0
2019-06-21,0,35.0,,0.35,0.0
2019-06-22,0,35.0,,0.35,0.0
2019-06-23,0,37.0,False,0.37,0.0
2019-06-24,0,37.0,,0.37,0.0
2019-06-25,0,37.0,,0.37,0.0
2019-06-26,0,37.0,,0.37,0.0
2019-06-27,34,37.0,,0.37,12.58
2019-06-28,41,37.0,,0.37,15.17
2019-06-29,0,37.0,,0.37,0.0
2019-06-30,0,37.0,False,0.37,0.0
2019-07-01,74,37.0,,0.37,27.38
2019-07-02,73,37.0,,0.37,27.009999999999998
2019-07-03,0,37.0,,0.37,0.0
2019-07-04,0,37.0,,0.37,0.0
2019-07-05,0,37.0,,0.37,0.0
2019-07-06,0,37.0,,0.37,0.0
2019-07-07,0,64.0,False,0.64,0.0
2019-07-08,0,64.0,,0.64,0.0
2019-07-09,0,64.0,,0.64,0.0
2019-07-10,80,64.0,,0.64,51.2
2019-07-11,0,64.0,,0.64,0.0
2019-07-12,88,64.0,,0.64,56.32
2019-07-13,98,64.0,,0.64,62.72
2019-07-14,0,51.0,False,0.51,0.0
2019-07-15,0,51.0,,0.51,0.0
2019-07-16,0,51.0,,0.51,0.0
2019-07-17,80,51.0,,0.51,40.8
2019-07-18,0,51.0,,0.51,0.0
2019-07-19,90,51.0,,0.51,45.9
2019-07-20,100,51.0,,0.51,51.0
2019-07-21,88,0.0,False,0.0,0.0
2019-07-22,0,0.0,,0.0,0.0
2019-07-23,80,0.0,,0.0,0.0
2019-07-24,0,0.0,,0.0,0.0
2019-07-25,0,0.0,,0.0,0.0
2019-07-26,0,0.0,,0.0,0.0
2019-07-27,0,0.0,,0.0,0.0
2019-07-28,0,61.0,False,0.61,0.0
2019-07-29,75,61.0,,0.61,45.75
2019-07-30,0,61.0,,0.61,0.0
2019-07-31,0,61.0,,0.61,0.0
2019-08-01,0,61.0,,0.61,0.0
2019-08-02,93,61.0,,0.61,56.73
2019-08-03,0,61.0,,0.61,0.0
2019-08-04,0,0.0,False,0.0,0.0
2019-08-05,77,0.0,,0.0,0.0
2019-08-06,0,0.0,,0.0,0.0
2019-08-07,0,0.0,,0.0,0.0
2019-08-08,0,0.0,,0.0,0.0
2019-08-09,0,0.0,,0.0,0.0
2019-08-10,0,0.0,,0.0,0.0
2019-08-11,0,23.0,False,0.23,0.0
2019-08-12,0,23.0,,0.23,0.0
2019-08-13,0,23.0,,0.23,0.0
2019-08-14,0,23.0,,0.23,0.0
2019-08-15,0,23.0,,0.23,0.0
2019-08-16,0,23.0,,0.23,0.0
2019-08-17,0,23.0,,0.23,0.0
2019-08-18,80,11.0,False,0.11,8.8
2019-08-19,0,11.0,,0.11,0.0
2019-08-20,0,11.0,,0.11,0.0
2019-08-21,0,11.0,,0.11,0.0
2019-08-22,0,11.0,,0.11,0.0
2019-08-23,0,11.0,,0.11,0.0
2019-08-24,96,11.0,,0.11,10.56
2019-08-25,82,23.0,False,0.23,18.86
2019-08-26,72,23.0,,0.23,16.560000000000002
2019-08-27,0,23.0,,0.23,0.0
2019-08-28,0,23.0,,0.23,0.0
2019-08-29,0,23.0,,0.23,0.0
2019-08-30,0,23.0,,0.23,0.0
2019-08-31,100,23.0,,0.23,23.0
2019-09-01,54,11.0,False,0.11,5.94
2019-09-02,0,11.0,,0.11,0.0
2019-09-03,0,11.0,,0.11,0.0
2019-09-04,0,11.0,,0.11,0.0
2019-09-05,0,11.0,,0.11,0.0
2019-09-06,100,11.0,,0.11,11.0
2019-09-07,0,11.0,,0.11,0.0
2019-09-08,0,55.0,False,0.55,0.0
2019-09-09,42,55.0,,0.55,23.1
2019-09-10,43,55.0,,0.55,23.650000000000002
2019-09-11,42,55.0,,0.55,23.1
2019-09-12,44,55.0,,0.55,24.200000000000003
2019-09-13,49,55.0,,0.55,26.950000000000003
2019-09-14,0,55.0,,0.55,0.0
2019-09-15,0,21.0,False,0.21,0.0
2019-09-16,85,21.0,,0.21,17.849999999999998
2019-09-17,0,21.0,,0.21,0.0
2019-09-18,0,21.0,,0.21,0.0
2019-09-19,0,21.0,,0.21,0.0
