Date,damp_unscaled,damp_monthly,isPartial,scale,damp
2019-03-14,0,22.0,,0.22,0.0
2019-03-15,0,22.0,,0.22,0.0
2019-03-16,0,22.0,,0.22,0.0
2019-03-17,0,45.0,False,0.45,0.0
2019-03-18,0,45.0,,0.45,0.0
2019-03-19,0,45.0,,0.45,0.0
2019-03-20,0,45.0,,0.45,0.0
2019-03-21,0,45.0,,0.45,0.0
2019-03-22,0,45.0,,0.45,0.0
2019-03-23,0,45.0,,0.45,0.0
2019-03-24,0,22.0,False,0.22,0.0
2019-03-25,0,22.0,,0.22,0.0
2019-03-26,0,22.0,,0.22,0.0
2019-03-27,0,22.0,,0.22,0.0
2019-03-28,0,22.0,,0.22,0.0
2019-03-29,0,22.0,,0.22,0.0
2019-03-30,100,22.0,,0.22,22.0
2019-03-31,81,65.0,False,0.65,52.65
2019-04-01,0,65.0,,0.65,0.0
2019-04-02,0,65.0,,0.65,0.0
2019-04-03,92,65.0,,0.65,59.800000000000004
2019-04-04,0,65.0,,0.65,0.0
2019-04-05,0,65.0,,0.65,0.0
2019-04-06,0,65.0,,0.65,0.0
2019-04-07,0,45.0,False,0.45,0.0
2019-04-08,0,45.0,,0.45,0.0
2019-04-09,0,45.0,,0.45,0.0
2019-04-10,88,45.0,,0.45,39.6
2019-04-11,0,45.0,,0.45,0.0
2019-04-12,0,45.0,,0.45,0.0
2019-04-13,0,45.0,,0.45,0.0
2019-04-14,0,0.0,False,0.0,0.0
2019-04-15,100,0.0,,0.0,0.0
2019-04-16,0,0.0,,0.0,0.0
2019-04-17,0,0.0,,0.0,0.0
2019-04-18,0,0.0,,0.0,0.0
2019-04-19,0,0.0,,0.0,0.0
2019-04-20,0,0.0,,0.0,0.0
2019-04-21,0,0.0,False,0.0,0.0
2019-04-22,0,0.0,,0.0,0.0
2019-04-23,0,0.0,,0.0,0.0
2019-04-24,0,0.0,,0.0,0.0
2019-04-25,0,0.0,,0.0,0.0
2019-04-26,0,0.0,,0.0,0.0
2019-04-27,0,0.0,,0.0,0.0
2019-04-28,0,21.0,False,0.21,0.0
2019-04-29,0,21.0,,0.21,0.0
2019-04-30,0,21.0,,0.21,0.0
2019-05-01,0,21.0,,0.21,0.0
2019-05-02,0,21.0,,0.21,0.0
2019-05-03,0,21.0,,0.21,0.0
2019-05-04,0,21.0,,0.21,0.0
2019-05-05,0,21.0,False,0.21,0.0
2019-05-06,0,21.0,,0.21,0.0
2019-05-07,0,21.0,,0.21,0.0
2019-05-08,0,21.0,,0.21,0.0
2019-05-09,0,21.0,,0.21,0.0
2019-05-10,0,21.0,,0.21,0.0
2019-05-11,0,21.0,,0.21,0.0
2019-05-12,78,43.0,False,0.43,33.54
2019-05-13,0,43.0,,0.43,0.0
2019-05-14,0,43.0,,0.43,0.0
2019-05-15,0,43.0,,0.43,0.0
2019-05-16,75,43.0,,0.43,32.25
2019-05-17,0,43.0,,0.43,0.0
2019-05-18,100,43.0,,0.43,43.0
2019-05-19,0,21.0,False,0.21,0.0
2019-05-20,0,21.0,,0.21,0.0
2019-05-21,0,21.0,,0.21,0.0
2019-05-22,0,21.0,,0.21,0.0
2019-05-23,0,21.0,,0.21,0.0
2019-05-24,0,21.0,,0.21,0.0
2019-05-25,0,21.0,,0.21,0.0
2019-05-26,0,20.0,False,0.2,0.0
2019-05-27,0,20.0,,0.2,0.0
2019-05-28,0,20.0,,0.2,0.0
2019-05-29,0,20.0,,0.2,0.0
2019-05-30,0,20.0,,0.2,0.0
2019-05-31,0,20.0,,0.2,0.0
2019-06-01,0,20.0,,0.2,0.0
2019-06-02,0,20.0,False,0.2,0.0
2019-06-03,0,20.0,,0.2,0.0
2019-06-04,0,20.0,,0.2,0.0
2019-06-05,0,20.0,,0.2,0.0
2019-06-06,0,20.0,,0.2,0.0
2019-06-07,0,20.0,,0.2,0.0
2019-06-08,0,20.0,,0.2,0.0
2019-06-09,0,40.0,False,0.4,0.0
2019-06-10,0,40.0,,0.4,0.0
2019-06-11,95,40.0,,0.4,38.0
2019-06-12,95,40.0,,0.4,38.0
2019-06-13,0,40.0,,0.4,0.0
2019-06-14,0,40.0,,0.4,0.0
2019-06-15,0,40.0,,0.4,0.0
2019-06-16,0,80.0,False,0.8,0.0
2019-06-17,0,80.0,,0.8,0.0
2019-06-18,0,80.0,,0.8,0.0
2019-06-19,100,80.0,,0.8,80.0
2019-06-20,0,80.0,,0.8,0.0
2019-06-21,0,80.0,,0.8,0.0
2019-06-22,0,80.0,,0.8,0.0
2019-06-23,0,21.0,False,0.21,0.0
2019-06-24,94,21.0,,0.21,19.74
2019-06-25,0,21.0,,0.21,0.0
2019-06-26,0,21.0,,0.21,0.0
2019-06-27,0,21.0,,0.21,0.0
2019-06-28,0,21.0,,0.21,0.0
2019-06-29,0,21.0,,0.21,0.0
2019-06-30,0,21.0,False,0.21,0.0
2019-07-01,76,21.0,,0.21,15.959999999999999
2019-07-02,0,21.0,,0.21,0.0
2019-07-03,0,21.0,,0.21,0.0
2019-07-04,0,21.0,,0.21,0.0
2019-07-05,0,21.0,,0.21,0.0
2019-07-06,0,21.0,,0.21,0.0
2019-07-07,0,65.0,False,0.65,0.0
2019-07-08,82,65.0,,0.65,53.300000000000004
2019-07-09,0,65.0,,0.65,0.0
2019-07-10,82,65.0,,0.65,53.300000000000004
2019-07-11,0,65.0,,0.65,0.0
2019-07-12,0,65.0,,0.65,0.0
2019-07-13,100,65.0,,0.65,65.0
2019-07-14,0,0.0,False,0.0,0.0
2019-07-15,0,0.0,,0.0,0.0
2019-07-16,78,0.0,,0.0,0.0
2019-07-17,0,0.0,,0.0,0.0
2019-07-18,84,0.0,,0.0,0.0
2019-07-19,92,0.0,,0.0,0.0
2019-07-20,0,0.0,,0.0,0.0
2019-07-21,0,22.0,False,0.22,0.0
2019-07-22,79,22.0,,0.22,17.38
2019-07-23,82,22.0,,0.22,18.04
2019-07-24,0,22.0,,0.22,0.0
2019-07-25,0,22.0,,0.22,0.0
2019-07-26,0,22.0,,0.22,0.0
2019-07-27,0,22.0,,0.22,0.0
2019-07-28,0,21.0,False,0.21,0.0
2019-07-29,0,21.0,,0.21,0.0
2019-07-30,0,21.0,,0.21,0.0
2019-07-31,0,21.0,,0.21,0.0
2019-09-01,0,0.0,False,0.0,0.0
2019-09-02,0,0.0,,0.0,0.0
2019-09-03,0,0.0,,0.0,0.0
2019-09-04,0,0.0,,0.0,0.0
2019-09-05,0,0.0,,0.0,0.0
2019-09-06,0,0.0,,0.0,0.0
2019-09-07,0,0.0,,0.0,0.0
2019-09-08,100,19.0,False,0.19,19.0
2019-09-09,0,19.0,,0.19,0.0
2019-09-10,88,19.0,,0.19,16.72
2019-09-11,0,19.0,,0.19,0.0
2019-09-12,0,19.0,,0.19,0.0
2019-09-13,0,19.0,,0.19,0.0
2019-09-14,0,19.0,,0.19,0.0
2019-09-15,0,18.0,False,0.18,0.0
2019-09-16,0,18.0,,0.18,0.0
2019-09-17,0,18.0,,0.18,0.0
2019-09-18,0,18.0,,0.18,0.0
2019-09-19,0,18.0,,0.18,0.0
2019-09-20,0,18.0,,0.18,0.0
2019-09-21,0,18.0,,0.18,0.0
2019-09-22,0,0.0,False,0.0,0.0
2019-09-23,84,0.0,,0.0,0.0
2019-09-24,0,0.0,,0.0,0.0
2019-09-25,0,0.0,,0.0,0.0
2019-09-26,0,0.0,,0.0,0.0
2019-09-27,0,0.0,,0.0,0.0
2019-09-28,0,0.0,,0.0,0.0
2019-09-29,0,19.0,False,0.19,0.0
2019-09-30,0,19.0,,0.19,0.0
2019-10-01,0,19.0,,0.19,0.0
2019-10-02,0,19.0,,0.19,0.0
2019-10-03,0,19.0,,0.19,0.0
2019-10-04,0,19.0,,0.19,0.0
2019-10-05,0,19.0,,0.19,0.0
2019-10-06,0,19.0,False,0.19,0.0
2019-10-07,0,19.0,,0.19,0.0
2019-10-08,0,19.0,,0.19,0.0
2019-10-09,0,19.0,,0.19,0.0
2019-10-10,0,19.0,,0.19,0.0
2019-10-11,0,19.0,,0.19,0.0
2019-10-12,0,19.0,,0.19,0.0
2019-10-13,0,54.0,False,0.54,0.0
2019-10-14,0,54.0,,0.54,0.0
2019-10-15,0,54.0,,0.54,0.0
2019-10-16,0,54.0,,0.54,0.0
2019-10-17,0,54.0,,0.54,0.0
2019-10-18,89,54.0,,0.54,48.06
2019-10-19,0,54.0,,0.54,0.0
2019-10-20,0,18.0,False,0.18,0.0
2019-10-21,0,18.0,,0.18,0.0
2019-10-22,0,18.0,,0.18,0.0
2019-10-23,0,18.0,,0.18,0.0
2019-10-24,77,18.0,,0.18,13.86
2019-10-25,0,18.0,,0.18,0.0
2019-10-26,0,18.0,,0.18,0.0
2019-10-27,100,19.0,False,0.19,19.0
2019-10-28,0,19.0,,0.19,0.0
2019-10-29,0,19.0,,0.19,0.0
2019-10-30,0,19.0,,0.19,0.0
2019-10-31,0,19.0,,0.19,0.0
2019-11-01,0,19.0,,0.19,0.0
2019-11-02,0,19.0,,0.19,0.0
2019-11-03,0,18.0,False,0.18,0.0
2019-11-04,0,18.0,,0.18,0.0
2019-11-05,0,18.0,,0.18,0.0
2019-11-06,0,18.0,,0.18,0.0
2019-11-07,0,18.0,,0.18,0.0
2019-11-08,0,18.0,,0.18,0.0
2019-11-09,0,18.0,,0.18,0.0
2019-11-10,0,18.0,False,0.18,0.0
2019-11-11,96,18.0,,0.18,17.28
2019-11-12,0,18.0,,0.18,0.0
2019-11-13,0,18.0,,0.18,0.0
2019-11-14,0,18.0,,0.18,0.0
2019-11-15,0,18.0,,0.18,0.0
2019-11-16,0,18.0,,0.18,0.0
2019-11-17,0,0.0,False,0.0,0.0
2019-11-18,0,0.0,,0.0,0.0
2019-11-19,0,0.0,,0.0,0.0
2019-11-20,0,0.0,,0.0,0.0
2019-11-21,0,0.0,,0.0,0.0
2019-11-22,0,0.0,,0.0,0.0
